,Role,Company,location,duration,stripend,Similarity
74,Java Development,Aadhvik Technologies,Work from home,1 Month,"1,000 - 2,000 /month",70.49464287641565
101,Python Development,Adstacks Media,Gurgaon,6 Months,"11,000 - 12,000 /month",60.250258917293074
130,Python Development,Aadhvik Technologies,Work from home,1 Month,"1,000 - 2,000 /month",60.250258917293074
