Role,Company,location,duration,stripend
Graphic Design,DJ Plus India Private Limited,Delhi (Hybrid),2 Months,"12,000 - 18,000 /month"
Business Development (Sales),Ecovijay Global Private Limited,Work from home,3 Months,"1,000 - 2,000 /month"
Cyber Security,Rythukart Private Limited,Work from home,1 Month,"1,000 - 2,000 /month"
Social Media Marketing,NestAway Technologies Private Limited,Bangalore,6 Months,"15,000 - 20,000 /month"
Accounting & Taxation,RD Electronics & Refrigeration,Bangalore,3 Months,"9,100 - 15,000 /month"
Graphic Design,UCTC - Universal Classic Tshirts Company,Pune,3 Months,"9,000 - 10,000 /month"
Business Development (Sales),Yuvha Games,Work from home,3 Months,"3,000 - 5,001 /month"
Business Research,URE Legal Advocates,Noida (Hybrid),5 Months,"2,000 /month"
Field Sales,Su Spices,Surat (Hybrid),3 Months,"2,000 /month + Incentive"
Python Development (Teaching),1on1 Teaching Friend Technologies,Work from home,3 Months,"2,000 - 3,000 /month"
Full Stack Development,Auctopus Technologies Private Limited,Work from home,4 Months,"12,000 /month"
Java Development,Aadhvik Technologies,Work from home,1 Month,"1,000 - 2,000 /month"
Frontend Developer,Systemic Altruism,Work from home,3 Months,"12,000 /month"
Frontend Developer,"Swissmote, Inc.",Work from home,3 Months,"12,000 /month"
Flutter Development,Digital Guruji,Work from home,6 Months,"7,500 /month"
Game Development,Warewe Consultancy Private Limited,Gurgaon,2 Months,"5,000 - 10,000 /month"
Full Stack Development,Rentkar-Switch To Share,Mumbai,3 Months,"10,000 - 12,000 /month"
Full Stack Development,Trackmyuser,Madurai,2 Months,"11,000 - 30,000 /month"
Product Management,Tutedude,Gurgaon,3 Months,"30,000 /month"
Technical Development,Innate Gamma Private Limited,Lucknow,6 Months,"5,000 /month"
Artificial Intelligence (AI),Epesign Technologies Private Limited,Bangalore,3 Months,"20,000 - 40,000 /month"
Android App Development,The Sales Studio,Work from home,6 Months,"30,000 - 45,000 lump sum"
Flutter Development,Crystal Ice Cubes,Work from home,1 Month,"5,000 - 25,000 /month"
Information Technology,GANPATI EXCLUSIVE DESIGNER SAREES PRIVATE,Jaipur,6 Months,"12,001 - 15,002 /month"
Mobile App Development,Potential Plus,Work from home,3 Months,"20,000 - 25,000 /month"
Full Stack Development,GPT Innovations,Work from home,6 Months,"5,000 - 10,000 /month"
WordPress Development,AMJAM SOLUTIONS LLP,Work from home,3 Months,"1,000 - 10,000 /month"
Mobile App Development,D4X,Work from home,3 Months,"1,000 - 10,000 /month"
PHP Laravel Developer,ThePriceForecaster,Indore (Hybrid),4 Months,"5,000-7,000 /month"
Software Testing,Isourse,Delhi,6 Months,"20,000 - 25,000 /month"
Front End Development,Fabulous Media Private Limited,Gurgaon,6 Months,"5,000 - 10,000 /month"
Research Intern,Synergy Labs,Gurgaon,3 Months,"10,000 - 15,000 /month"
Full Stack Development,Digital Guruji,Delhi,6 Months,"15,000 /month"
Frontend Developer,Persist Ventures,Work from home,3 Months,"12,000 /month"
Artificial Intelligence (AI),Shikhar Bansal,Work from home,6 Months,"7,000 - 10,000 /month"
React Native Intern,Synergy Labs,Gurgaon,6 Months,"10,000 - 15,000 /month"
Full Stack Development,IntelliSQR,"Faridabad, Gurgaon, Noida, Delhi",3 Months,"10,000 - 12,000 /month"
AI Sales And Marketing,SKAVCH LLP,Work from home,3 Months,"5,000 /month"
Python Development,Adstacks Media,Gurgaon,6 Months,"11,000 - 12,000 /month"
